序号,书名,评分,价格,出版社,url
10100,蛾术轩箧存善本书录（全二册）,9.9 ,198.00元,上海古籍出版社,https://book.douban.com/subject/1548040/
16518,地图里的兴亡：三家分晋，烽火中原（上）,9.9 ,39,中国地图出版社,https://book.douban.com/subject/26685272/
16520,地图里的兴亡：三家分晋，烽火中原（下）,9.9 ,39,中国地图出版社,https://book.douban.com/subject/26685285/
17598,王骧陆居士全集（上下）,9.9 ,68.00元,宗教文化出版社,https://book.douban.com/subject/3931781/
22299,螺旋海岸album,9.9 ,JPY8400,赤々舎,https://book.douban.com/subject/20726499/
22593,KoudelkaGypsies,9.9 ,624元,Thames&Hudson,https://book.douban.com/subject/7001925/
24998,TheLordoftheRings,9.9 ,USD90.00,HoughtonMifflinHarcourt,https://book.douban.com/subject/1947221/
26427,按手按脚养生疗病,9.9 ,25.00元,辽宁科学技术出版社,https://book.douban.com/subject/11622317/
26435,简单折纸大百科,9.9 ,36.00元,河南科学技术出版社,https://book.douban.com/subject/19967686/
26732,TheHobbit:TheDesolationOfSmaug:Chronicles:Art&Design,9.9 ,USD39.99,HarperCollins,https://book.douban.com/subject/11645231/
28463,TheNortonAnthologyofTheoryandCriticism,9.9 ,GBP35.99,W.W.Norton&Co.,https://book.douban.com/subject/4885471/
30440,TheCollectedPoemsofW.B.Yeats,9.9 ,$20.00 ,Scribner,https://book.douban.com/subject/1370788/
32774,世界军事大百科-最强潜水艇,9.9 ,38.00元,中国民族摄影艺术出版社,https://book.douban.com/subject/20283227/
34962,帕格尼尼24首小提琴随想曲,9.9 ,11.50元,"
",https://book.douban.com/subject/1092309/
36740,HowtoMakeaWatercolorPaintItself,9.9 ,127.43元,StMartinsPr,https://book.douban.com/subject/2640661/
37979,做好领导的九大赢招,9.9 ,29.80元,南海出版公司,https://book.douban.com/subject/20429358/
39437,TomasTranstromer,9.9 ,USD15.99,Ecco,https://book.douban.com/subject/1767196/
41406,傀儡馬戲團40,9.9 ,85元,青文,https://book.douban.com/subject/3118554/
41407,傀儡馬戲團42,9.9 ,85元,青文,https://book.douban.com/subject/3118552/
41409,傀儡馬戲團39,9.9 ,85元,青文,https://book.douban.com/subject/3118555/
41429,靓妹精剪发型,9.9 ,15.00元,华文出版社,https://book.douban.com/subject/1145721/
42312,芥川龙之介全集（全五册）,9.9 ,298.00元,山东文艺出版社,https://book.douban.com/subject/19950592/
42390,"ScottPilgrim,Vol.6",9.9 ,USD11.99,OniPress,https://book.douban.com/subject/4772810/
42601,灌籃高手完全版8,9.9 ,230新台币,尖端出版社,https://book.douban.com/subject/3620381/
42602,灌籃高手完全版16,9.9 ,230新台币,尖端出版社,https://book.douban.com/subject/3620405/
42604,灌籃高手完全版20,9.9 ,230新台币,尖端出版社,https://book.douban.com/subject/3620421/
42605,灌籃高手完全版14,9.9 ,199新台币,尖端出版社,https://book.douban.com/subject/3620395/
42606,灌籃高手完全版10,9.9 ,199新台币,尖端出版社,https://book.douban.com/subject/3620388/
42609,灌籃高手完全版12,9.9 ,199新台币,尖端出版社,https://book.douban.com/subject/3620392/
42622,スラムダンク（28）,9.9 ,410円（税込）,集英社,https://book.douban.com/subject/3902000/
42624,スラムダンク（30）,9.9 ,410円（税込）,集英社,https://book.douban.com/subject/3902002/
42640,ONEPIECE57,9.9 ,420円（税込）,集英社,https://book.douban.com/subject/4297768/
42641,ONEPIECE59,9.9 ,420円,集英社,https://book.douban.com/subject/4918305/
42644,ONEPIECE51,9.9 ,JYP420.00,集英社,https://book.douban.com/subject/3197101/
42705,一学就会的色铅笔,9.9 ,45,人民邮电出版社,https://book.douban.com/subject/26281406/
44235,孤独鸽,9.9 ,39.60元,上海译文出版社,https://book.douban.com/subject/1329403/
44850,HarryPotterPagetoScreen,9.9 ,USD75.00,HarperDesign,https://book.douban.com/subject/6872645/
44993,傀儡馬戲團41,9.9 ,85元,青文,https://book.douban.com/subject/3118553/
45592,さらい屋五葉8,9.9 ,680円,小学館,https://book.douban.com/subject/4941695/
45879,新世界より（上）,9.9 ,760,講談社,https://book.douban.com/subject/5958814/
46051,灌籃高手完全版11,9.9 ,199新台币,尖端出版社,https://book.douban.com/subject/3620390/
46052,灌籃高手完全版9,9.9 ,199新台币,尖端出版社,https://book.douban.com/subject/3620385/
46053,灌籃高手完全版7,9.9 ,230新台币,尖端出版社,https://book.douban.com/subject/3620380/
46054,灌籃高手完全版6,9.9 ,230新台币,尖端出版社,https://book.douban.com/subject/3620373/
46094,onepiece56,9.9 ,420円(税込),集英社,https://book.douban.com/subject/4170306/
46095,ONEPIECE55,9.9 ,JYP420.00,集英社,https://book.douban.com/subject/4011067/
46096,ONEPIECE58,9.9 ,JPY420.00,集英社,https://book.douban.com/subject/4864905/
50700,3月的獅子(08),9.9 ,NT$130,尖端出版社,https://book.douban.com/subject/25957818/
50716,送给宝宝的可爱刺绣图案集,9.9 ,25.00元,河南科学技术出版社,https://book.douban.com/subject/6877617/
51122,宇宙兄弟（11）,9.9 ,JPY580,講談社,https://book.douban.com/subject/5407115/
52500,宇宙兄弟（12）,9.9 ,JPY580,講談社,https://book.douban.com/subject/5407114/
52502,宇宙兄弟（9）,9.9 ,JPY580,講談社,https://book.douban.com/subject/5407118/
52503,宇宙兄弟（6）,9.9 ,JPY580,講談社,https://book.douban.com/subject/5407121/
52506,宇宙兄弟（5）,9.9 ,JPY580,講談社,https://book.douban.com/subject/5407122/
52696,TheCompleteCalvinandHobbes,9.9 ,$150.00 ,AndrewsMcMeelPublishing,https://book.douban.com/subject/1447001/
53636,CalvinandHobbes,9.9 ,115.00元,AndrewsMcMeelPublishing,https://book.douban.com/subject/1754827/
54725,ドロヘドロ17,9.9 ,920円,小学館,https://book.douban.com/subject/11589042/
54810,灌籃高手完全版1,9.9 ,NT$.199,台湾尖端出版社,https://book.douban.com/subject/2240120/
55001,日常(6),9.9 ,JPY605,角川書店(角川グループパブリッシング),https://book.douban.com/subject/6114256/
343,计算机程序设计艺术（第3卷）,9.8 ,98.00元,国防工业出版社,https://book.douban.com/subject/1241037/
555,AdvancedProgrammingintheUNIX(R)Environment(2ndEdition),9.8 ,USD74.99,Addison-WesleyProfessional,https://book.douban.com/subject/1439495/
1033,ConcreteMathematics,9.8 ,USD89.99,Addison-WesleyProfessional,https://book.douban.com/subject/1390010/
1036,深入理解计算机系统（英文版·第2版）,9.8 ,128.00元,机械工业出版社,https://book.douban.com/subject/5407246/
1068,OperatingSystems,9.8 ,$24.00 ,Arpaci-DusseauBooks,https://book.douban.com/subject/19973015/
2038,可爱的倒霉蛋们,9.8 ,39.80元,北京联合出版公司·后浪出版公司,https://book.douban.com/subject/26671508/
2182,ComputerSystems,9.8 ,USD135.00,PrenticeHall,https://book.douban.com/subject/3023631/
4898,量子力学原理,9.8 ,58.00元,科学出版社,https://book.douban.com/subject/3117484/
7224,TheFeynmanLecturesonPhysicsincludingFeynman'sTipsonPhysics,9.8 ,USD195.00,AddisonWesley,https://book.douban.com/subject/1448787/
7500,力学,9.8 ,36.00元,世界图书出版公司,https://book.douban.com/subject/1666546/
7512,AnalogDesignEssentials(TheSpringerInternationalSeriesinEngineeringandComputerScience),9.8 ,USD129.00,Springer,https://book.douban.com/subject/2136691/
8486,"Passion,Craft,andMethodinComparativePolitics",9.8 ,USD38.00,TheJohnsHopkinsUniversityPress,https://book.douban.com/subject/2563318/
9928,黑白花意5：笔尖下的花姿百态,9.8 ,29.80元,人民邮电出版社,https://book.douban.com/subject/26655904/
9930,色铅笔绘画实用教程,9.8 ,35,人民邮电出版社,https://book.douban.com/subject/26311126/
11531,豆宝宝大创意系列2：《你一半我一半》《别学我》《一条尾巴十只老鼠》,9.8 ,75,郑州大学出版社,https://book.douban.com/subject/26666349/
11535,咯咯哒太太,9.8 ,29.80元,重庆出版集团,https://book.douban.com/subject/26673817/
11548,解放父母解放孩子,9.8 ,32.80元,上海社会科学院出版社,https://book.douban.com/subject/26674740/
14825,觀察（全六卷）,9.8 ,450.00元,岳麓書社,https://book.douban.com/subject/1606419/
17357,采菽堂古诗选（全二册）,9.8 ,128.00元,上海古籍出版社,https://book.douban.com/subject/3859941/
17556,普賢上師言教,9.8 ,800NT,橡實,https://book.douban.com/subject/4885184/
19040,巴洛克艺术,9.8 ,CNY998.00,北京美术摄影出版社,https://book.douban.com/subject/22994566/
19741,WallaceStevens,9.8 ,USD40.00,LibraryofAmerica,https://book.douban.com/subject/1887432/
19821,ProvenceSketchbook,9.8 ,300元,EDM,https://book.douban.com/subject/4278250/
19823,LondonSketchbook,9.8 ,260.00元,EditionsDidierMillet,https://book.douban.com/subject/3082614/
19957,TheSandmanVol.10,9.8 ,USD19.99,Vertigo,https://book.douban.com/subject/1921116/
20042,J.C.Leyendecker,9.8 ,USD50.00,Abrams,https://book.douban.com/subject/3427962/
21413,普贤上师言教,9.8 ,29.00元,西藏人民出版社,https://book.douban.com/subject/2134266/
21925,TheCollectedPoemsofWallaceStevens,9.8 ,$16.95 ,Vintage,https://book.douban.com/subject/1471039/
22449,TheClassicalStyle,9.8 ,USD21.95,W.W.Norton&Company,https://book.douban.com/subject/1468989/
22484,肖邦练习曲集,9.8 ,21.80元,人民音乐出版社,https://book.douban.com/subject/1108149/
23597,PhilosophicalInvestigations,9.8 ,USD34.95,Wiley-Blackwell,https://book.douban.com/subject/4177710/
24101,印光法师文钞（全两册）,9.8 ,148.00元,宗教文化出版社,https://book.douban.com/subject/3855478/
24540,TheCompleteYesMinister,9.8 ,USD19.95,BBCBooks,https://book.douban.com/subject/2129210/
25004,TheSilmarillion,9.8 ,USD40.00,HoughtonMifflinHarcourt,https://book.douban.com/subject/2034913/
25675,新五代史（修订本）全三册,9.8 ,180.00元,中华书局,https://book.douban.com/subject/26314790/
25950,四季短笛,9.8 ,12.00元,电子工业出版社,https://book.douban.com/subject/4825482/
26426,日本漫画名家CG课堂3-红果汁的漫画CG技巧,9.8 ,48.00元,辽宁科学技术出版社,https://book.douban.com/subject/11533547/
26434,零起步钩出甜蜜宝贝装,9.8 ,27.00元,辽宁科学技术出版社,https://book.douban.com/subject/11632218/
26437,猪传染病防控技术,9.8 ,24.00元,福建科技出版社,https://book.douban.com/subject/20270778/
27191,牟宗三先生全集(全33册),9.8 ,7425.00(人民币),聯經出版事業有限公司,https://book.douban.com/subject/1763355/
28351,不再一樣,9.8 ,NT$530,香港浸信會,https://book.douban.com/subject/1859392/
28667,IntroductiontotheReadingofHegel,9.8 ,USD22.95,CornellUniversityPress,https://book.douban.com/subject/1481724/
29283,AnselAdams:TheCamera,9.8 ,USD25.00,"Little,Brown",https://book.douban.com/subject/2137065/
29293,南华真经副墨,9.8 ,53.00元,中华书局,https://book.douban.com/subject/4238857/
30252,ModernistCuisine,9.8 ,GBP395.00,TheCookingLab,https://book.douban.com/subject/4911161/
30366,TheNicomacheanEthics(OxfordWorld'sClassics),9.8 ,GBP7.99,OUPOxford,https://book.douban.com/subject/3543603/
30447,Plato'sSymposium,9.8 ,$14.00 ,UniversityOfChicagoPress,https://book.douban.com/subject/2220775/
30717,孟子与尽心篇,9.8 ,26,东方出版社,https://book.douban.com/subject/25934819/
31560,TheLordoftheRings,9.8 ,USD100.00,HoughtonMifflinHarcourtTrade,https://book.douban.com/subject/1458980/
31881,天鵝絨兔子,9.8 ,280新臺幣,誼文化實業股份有限公司,https://book.douban.com/subject/4728862/
32791,中岛凯西夏威夷拼布小物1,9.8 ,38.00元,河南科学技术出版社,https://book.douban.com/subject/10794486/
32926,Batman:UndertheRedHood,9.8 ,USD29.99,DCComics,https://book.douban.com/subject/6844033/
33082,灌篮高手30,9.8 ,7.50元,长春出版社,https://book.douban.com/subject/1223505/
33257,存见古琴曲谱辑览,9.8 ,100,第1版(2007年3月1日),https://book.douban.com/subject/2128499/
33471,谈艺录,9.8 ,69.00元,商务印书馆,https://book.douban.com/subject/10532815/
34237,折一折，玩一玩趣味折纸,9.8 ,28.00元,河南科学技术出版社,https://book.douban.com/subject/6840107/
35084,DavidHamilton,9.8 ,USD55.00,AurumPress,https://book.douban.com/subject/2462168/
35703,超人气狗狗的选购和驯养指南,9.8 ,29.80元,辽宁科学技术出版社,https://book.douban.com/subject/5379665/
37015,傀儡馬戲團26,9.8 ,80元,青文,https://book.douban.com/subject/3118545/
37016,傀儡馬戲團25,9.8 ,80元,青文,https://book.douban.com/subject/3118543/
37017,傀儡馬戲團24,9.8 ,80元,青文,https://book.douban.com/subject/3118542/
37919,脂砚斋重评石头记庚辰校本（全四册）,9.8 ,128.00元,作家出版社,https://book.douban.com/subject/4747426/
37926,乾隆甲戌脂砚斋重评石头记,9.8 ,580.00元,上海古籍出版社,https://book.douban.com/subject/1593061/
38083,CriterionDesigns,9.8 ,USD99.95,TheCriterionCollection,https://book.douban.com/subject/26184644/
38321,ONEPIECE49,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/3000179/
38331,REALリアル（1）,9.8 ,620円（税込）,集英社,https://book.douban.com/subject/2336710/
38358,灌篮高手（全31卷）,9.8 ,232.50元,长春出版社,https://book.douban.com/subject/2025999/
38389,バガボンド（18）,9.8 ,524円(税込550円),講談社,https://book.douban.com/subject/3113153/
38442,经典花语绘——30种幸福花卉的水彩插画技法,9.8 ,39.80元,人民邮电出版社,https://book.douban.com/subject/26392887/
39088,温斯顿特效,9.8 ,320.00元,世界图书出版公司,https://book.douban.com/subject/25866291/
39253,宝贝最爱玩的折纸游戏,9.8 ,28.00元,浙江科学技术出版社,https://book.douban.com/subject/6969149/
41295,HarryPotterFilmWizardry,9.8 ,$39.99 ,CollinsDesign,https://book.douban.com/subject/4751521/
41375,無限の住人30,9.8 ,JPY600,講談社,https://book.douban.com/subject/21319165/
41726,手心里的袖珍甜点,9.8 ,32.80元,河南科学技术出版社,https://book.douban.com/subject/10749563/
41829,SEXPISTOLS4,9.8 ,JPY600,ビブロス,https://book.douban.com/subject/6730312/
42272,超自然神秘档案系列之超古代文明,9.8 ,29.80元,陕西师范大学出版社,https://book.douban.com/subject/10574914/
42353,竹光侍7,9.8 ,900円（税込）,小学館,https://book.douban.com/subject/4118228/
42526,Kylooe1憂鬱的蜻蜓--告別彩虹,9.8 ,$78 ,三聯書店(香港)有限公司,https://book.douban.com/subject/25795689/
42593,SLAMDUNKスラムダンク完全版（8）,9.8 ,980円,集英社,https://book.douban.com/subject/2978569/
42594,SLAMDUNKスラムダンク完全版（12）,9.8 ,980円,集英社,https://book.douban.com/subject/2978589/
42596,SLAMDUNKスラムダンク完全版（9）,9.8 ,980円,集英社,https://book.douban.com/subject/2978574/
42597,SLAMDUNKスラムダンク完全版（14）,9.8 ,980円,集英社,https://book.douban.com/subject/2978595/
42600,灌籃高手完全版15,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3620396/
42603,灌籃高手完全版17,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3620407/
42607,灌籃高手完全版18,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3620416/
42608,灌籃高手完全版3,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3619915/
42611,SLAMDUNKスラムダンク完全版（10）,9.8 ,980円,集英社,https://book.douban.com/subject/2978578/
42619,スラムダンク（27）,9.8 ,410円（税込）,集英社,https://book.douban.com/subject/3901999/
42620,スラムダンク（25）,9.8 ,410円（税込）,集英社,https://book.douban.com/subject/3901997/
42627,灌籃高手完全版19,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3620420/
42628,灌籃高手完全版13,9.8 ,199新台币,尖端出版社,https://book.douban.com/subject/3620394/
42631,ONEPIECE32,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285308/
42637,ONEPIECE52,9.8 ,JYP420.00,集英社,https://book.douban.com/subject/3311358/
42655,ヒカルの碁完全版3,9.8 ,"1,000円（税込）",集英社,https://book.douban.com/subject/3574967/
42680,バガボンド（21）,9.8 ,550円,講談社,https://book.douban.com/subject/3790482/
43103,孙悟空大战机器怪,9.8 ,13,浙江少年儿童出版社,https://book.douban.com/subject/1532239/
44685,異獸魔都(13),9.8 ,120元,長鴻,https://book.douban.com/subject/4172118/
44974,星屑與妮娜2,9.8 ,NT95,东立出版社,https://book.douban.com/subject/24846062/
45788,Sunny02,9.8 ,NT$240,尖端出版社,https://book.douban.com/subject/25813438/
46040,蟲師9,9.8 ,590円（税別）,講談社,https://book.douban.com/subject/3813078/
46046,SLAMDUNKスラムダンク完全版（7）,9.8 ,980円,集英社,https://book.douban.com/subject/2978567/
46047,SLAMDUNKスラムダンク完全版（11）,9.8 ,980円,集英社,https://book.douban.com/subject/2978584/
46050,SLAMDUNKスラムダンク完全版（21）,9.8 ,980円,集英社,https://book.douban.com/subject/2978611/
46055,灌籃高手完全版5,9.8 ,230新台币,尖端出版社,https://book.douban.com/subject/3620370/
46056,灌籃高手完全版4,9.8 ,230新台币,尖端出版社,https://book.douban.com/subject/3620366/
46067,スラムダンク（26）,9.8 ,410円（税込）,集英社,https://book.douban.com/subject/3901998/
46068,スラムダンク（29）,9.8 ,410円（税込）,集英社,https://book.douban.com/subject/3902001/
46076,SLAMDUNKスラムダンク完全版（22）,9.8 ,980円,集英社,https://book.douban.com/subject/2978614/
46078,ONEPIECE20,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285336/
46079,ONEPIECE22,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285331/
46082,ONEPIECE12,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285350/
46084,ONEPIECE36,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/2121687/
46092,ONEPIECE54,9.8 ,JYP420.00,集英社,https://book.douban.com/subject/3782045/
46103,ONEPIECE41,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285285/
46104,ONEPIECE40,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/2285287/
47087,三国志（上下册）,9.8 ,83.00元,中华书局,https://book.douban.com/subject/5403729/
48835,SLAMDUNKスラムダンク完全版（23）,9.8 ,980円,集英社,https://book.douban.com/subject/2978615/
48837,スラムダンク（13）,9.8 ,410円（税込）,集英社,https://book.douban.com/subject/3901984/
48847,ONEPIECE50,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/3095550/
48848,ONEPIECE45,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/2285262/
48849,ONEPIECE42,9.8 ,51.00元,集英社,https://book.douban.com/subject/1822418/
48850,ONEPIECE46,9.8 ,JYP410.00,集英社,https://book.douban.com/subject/2285257/
48861,ONEPIECE53,9.8 ,JYP420.00,集英社,https://book.douban.com/subject/3571728/
48862,ONEPIECE44,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285265/
48868,ONEPIECE~航海王~44,9.8 ,95(元),东立出版社,https://book.douban.com/subject/3130330/
48876,ONEPIECE31,9.8 ,51.00元,集英社,https://book.douban.com/subject/2285310/
48897,TheNaturalHistoryBook,9.8 ,GBP30.00,DKPublishing(DorlingKindersley),https://book.douban.com/subject/5388462/
49448,傅雷全集,9.8 ,1200,辽宁教育出版社,https://book.douban.com/subject/1084720/
50619,銀魂39,9.8 ,NT$95,东立出版社,https://book.douban.com/subject/6041248/
50628,UndertheRose8春の賛歌,9.8 ,998円（税込）,幻冬舎,https://book.douban.com/subject/25760925/
50986,互联网+,9.8 ,49.80元,人民邮电出版社,https://book.douban.com/subject/26581852/
51298,源氏物語～千年の謎～独占公式本,9.8 ,1890円,角川グループパブリッシン,https://book.douban.com/subject/6946925/
51919,バッカーノ！1710CrackFlag,9.8 ,599円,メディアワークス,https://book.douban.com/subject/4714336/
52011,王樣老師12,9.8 ,NT95,东立出版社,https://book.douban.com/subject/24828371/
52012,王樣老師14,9.8 ,NT95,东立出版社,https://book.douban.com/subject/24828375/
52124,銀魂36,9.8 ,NT$95,东立出版社,https://book.douban.com/subject/5366340/
52125,銀魂37,9.8 ,NT$95,东立出版社,https://book.douban.com/subject/5375805/
52129,銀魂35,9.8 ,95元,东立出版社,https://book.douban.com/subject/5288527/
52195,世界童话名著连环画,9.8 ,35元,浙江少年儿童出版社,https://book.douban.com/subject/1467519/
52501,宇宙兄弟13,9.8 ,590円（税込）,講談社,https://book.douban.com/subject/5966700/
52547,夏目友人帳15,9.8 ,JPY420,白泉社,https://book.douban.com/subject/20411007/
52550,天禄琳琅研究,9.8 ,68.00元,北京大学出版社,https://book.douban.com/subject/11627306/
52985,チェーザレ（7）,9.8 ,743円,講談社,https://book.douban.com/subject/10449441/
53171,逼上梁山的豺/沈石溪动物传奇故事,9.8 ,6,浙江少年儿童出版社,https://book.douban.com/subject/2058153/
53227,安徒生童话全集之三,9.8 ,5.85,上海译文出版社,https://book.douban.com/subject/1860760/
53253,藤子．F．不二雄SF短篇完全版8,9.8 ,350元,青文,https://book.douban.com/subject/3421000/
53255,藤子．Ｆ．不二雄SF短篇完全版5,9.8 ,350元,青文,https://book.douban.com/subject/3190432/
53371,少年同盟13,9.8 ,NT$100,东立出版社,https://book.douban.com/subject/24755000/
53470,宇宙兄弟（2）,9.8 ,JPY580,講談社,https://book.douban.com/subject/5407125/
53473,宇宙兄弟（14）,9.8 ,JPY590,講談社,https://book.douban.com/subject/10565146/
54139,宇宙兄弟（17）,9.8 ,JPY590,講談社,https://book.douban.com/subject/10561738/
54388,ドロヘドロ18,9.8 ,920円,小学館,https://book.douban.com/subject/24530338/
54727,ドロヘドロ16“悪魔の教典”付き限定特装版,9.8 ,1500円(税込),小学館,https://book.douban.com/subject/6829587/
54732,ドロヘドロ9,9.8 ,900円（税込）,小学館,https://book.douban.com/subject/3073954/
54951,ドロヘドロ7,9.8 ,900円（税込）,小学館,https://book.douban.com/subject/3073950/
34,深入理解计算机系统（原书第2版）,9.7 ,99.00元,机械工业出版社,https://book.douban.com/subject/5333562/
150,UNIX网络编程卷1,9.7 ,129.00元,人民邮电出版社,https://book.douban.com/subject/4118578/
151,TCP/IP详解卷1：协议（英文版）,9.7 ,79.00元,人民邮电出版社,https://book.douban.com/subject/4707725/
173,计算机程序设计艺术第2卷半数值算法（第3版）（英文影印版）,9.7 ,83,清华大学出版社,https://book.douban.com/subject/1247360/
198,C程序设计语言,9.7 ,23.00元,清华大学出版社,https://book.douban.com/subject/1230004/
557,ComputerSystems,9.7 ,149.00美元,PrenticeHall,https://book.douban.com/subject/1229948/
632,深入理解计算机系统,9.7 ,89.00元,电子工业出版社,https://book.douban.com/subject/1896753/
634,C程序设计语言,9.7 ,35.00元,机械工业出版社,https://book.douban.com/subject/1882483/
975,"Real-TimeRendering,ThirdEdition",9.7 ,USD97.95,AKPeters/CRCPress,https://book.douban.com/subject/3213439/
980,Ruby元编程（第2版）,9.7 ,68.8,华中科技大学出版社,https://book.douban.com/subject/26575429/
1359,复分析,9.7 ,79.00元,人民邮电出版社,https://book.douban.com/subject/3788399/
1366,LearningwithKernels,9.7 ,USD79.00,TheMITPress,https://book.douban.com/subject/1763633/
1910,概率论教程,9.7 ,49.00元,机械工业出版社,https://book.douban.com/subject/4818683/
1975,StatisticalPhysics,9.7 ,USD62.95,Butterworth-Heinemann,https://book.douban.com/subject/1437286/
3215,大自然中的美食,9.7 ,78.00元（全5册）,北京联合出版公司·后浪出版公司,https://book.douban.com/subject/26707638/
3269,我的第一次动物大发现儿童地图绘本,9.7 ,55,光明出版社,https://book.douban.com/subject/26349011/
3477,ComputationalScienceandEngineering,9.7 ,USD90.00,Wellesley-CambridgePress,https://book.douban.com/subject/3011192/
3598,WritingScience,9.7 ,USD36.95,OxfordUniversityPress,https://book.douban.com/subject/10567201/
3853,太空漫游,9.7 ,68,广西科学技术出版社,https://book.douban.com/subject/26710523/
5353,SecurityAnalysis,9.7 ,USD75.00,McGraw-Hill,https://book.douban.com/subject/3376705/
5401,"Calculus,Vol.1",9.7 ,1754.00元,Wiley,https://book.douban.com/subject/1987206/
6730,Sketching,9.7 ,USD45.00,BISPublishers,https://book.douban.com/subject/6787985/
6772,禮書通故（全六冊）,9.7 ,190.00元,中华书局,https://book.douban.com/subject/2071107/
7254,科学革命的编史学研究,9.7 ,89.00元,湖南科学技术出版社,https://book.douban.com/subject/20282961/
7783,儿童纪律教育,9.7 ,42.00元,中国轻工业出版社,https://book.douban.com/subject/1956019/
8085,FeynmanLecturesOnPhysics(3VolumeSet),9.7 ,$101.10 ,AddisonWesleyLongman,https://book.douban.com/subject/1427058/
8159,IntroductiontoProbability,9.7 ,USD79.00,AthenaScientific,https://book.douban.com/subject/1812629/
8321,大天使神諭占卜卡：45張精美大天使卡＋書+雅致絲絨袋,9.7 ,NT$680,生命潛能,https://book.douban.com/subject/2133617/
8628,洛克与自由社会,9.7 ,49.00元,上海三联书店,https://book.douban.com/subject/21233495/
8906,鸟坐禅与乌居摆,9.7 ,42.00元,长江文艺出版社,https://book.douban.com/subject/25808317/
9614,分子克隆实验指南（套装上下册）,9.7 ,168.00元,"
",https://book.douban.com/subject/1721736/
11530,刺小猬的蛋,9.7 ,29.80元,重庆出版社,https://book.douban.com/subject/26315881/
11533,发现孩子天生气质,9.7 ,32.80元,中央编译出版社,https://book.douban.com/subject/26677451/
11712,存在主义心理治疗,9.7 ,79,商务印书馆,https://book.douban.com/subject/26304954/
12624,地球之光,9.7 ,198.00元,中国大百科全书出版社,https://book.douban.com/subject/5924706/
12949,"TheHobbit:AnUnexpectedJourney,Chronicles:ArtandDesign",9.7 ,USD39.99,HarperCollinsPublisher,https://book.douban.com/subject/11507134/
13069,花园长谈,9.7 ,TW180,秀威资讯科技,https://book.douban.com/subject/26388546/
13940,有机合成中命名反应的战略性应用,9.7 ,160.00元,科学,https://book.douban.com/subject/2241106/
